source,target,weight,parent_user,source_is_replier,target_is_replier
0227_282,Her0zJ,1,trump,True,False
0227_282,MidwesternMarx,1,trump,True,False
0227_282,Patriot_556,1,trump,True,False
0521melinda,canva,1,trump,True,False
0sm0s1z,SenateDems,1,aoc,True,False
0xIran0,grok,1,trump,True,True
0xKiddo_,realsimon,1,trump,True,False
0xbluewiz,CoinVoyagir,1,trump,True,False
0xprimdotfun,JimHunt1464487,5,aoc,True,False
0xprimdotfun,teapartytempest,5,aoc,True,True
117_unknown,SenateDems,1,aoc,True,False
17_warrior71216,NotOpCue,1,trump,True,False
17_warrior71216,battleofever,1,trump,True,False
17_warrior71216,saras76,2,trump,True,False
1975_rpc,ChiDowner,1,aoc,True,True
1975_rpc,saras76,1,aoc,True,False
1987jiajialiu,PatentlyFalseto,1,trump,True,False
1987jiajialiu,aaqibali90,1,trump,True,False
1987jiajialiu,captainb4321,1,trump,True,False
1987jiajialiu,huiyiqr1,1,trump,True,False
19_babayaga,DianaforQueens,1,aoc,True,False
1BomBrasiIeiro,TheSportPigeon,1,aoc,True,True
1fritobandito,Lara_maga47,1,trump,True,False
1fritobandito,RapidResponse47,2,trump,True,False
1fritobandito,Real_JaredMarsh,1,trump,True,False
1fritobandito,bjnno1,1,trump,True,False
1fritobandito,holly__heart,1,trump,True,False
1fritobandito,jonesville,1,trump,True,False
1fritobandito,thisisceasar,1,trump,True,False
1fritobandito,xdownfall7x,1,trump,True,False
2006HD74,SenateDems,1,aoc,True,False
23BlueLightning,BeYourOwnSpark,1,trump,True,False
240z_racer,JohnnyVomits,1,aoc,True,False
240z_racer,mehdirhasan,1,aoc,True,False
262MEBrown,SenateDems,1,aoc,True,False
2EnigMat,SenateDems,1,aoc,True,False
35roper,Bubblebathgirl,1,aoc,True,True
35roper,minischlubbins,1,aoc,True,False
3JoursDuHaxxor,SenateDems,1,aoc,True,False
3JoursDuHaxxor,springej971,1,aoc,True,False
3OrGVX6Ui8z6Uhb,qmap17eri,1,trump,True,False
4the1nthesky,SenateDems,1,aoc,True,False
4wheelin10,krassenstein,1,trump,True,False
5CYBJo3cm50uSxR,allgoodmight,1,trump,True,True
5CYBJo3cm50uSxR,grok,1,trump,True,True
65Robyn19,DianaforQueens,1,aoc,True,False
65Robyn19,WAServers,1,aoc,True,True
65_dkm,JeffFord14,1,aoc,True,False
6hspmfbzqt,freemanslady,1,trump,True,False
718GS4,Ericmaga28,1,trump,True,False
73hsehce,harryjsisson,1,aoc,True,False
777davis,DianaforQueens,1,aoc,True,False
77_willl,Jessica22259200,1,aoc,True,False
77_willl,TimRunsHisMouth,1,aoc,True,False
7edzyy,F15Synch,1,trump,True,False
8161xavier,EricLDaugh,1,trump,True,False
